Frequency_Hz	H1_abs	H2_abs	Coherence
1.63217113e+00	3.11279725e-01	3.11364330e-01	9.99728277e-01
1.63911654e+00	3.15695443e-01	3.15752126e-01	9.99820484e-01
1.64606195e+00	3.21444397e-01	3.21555510e-01	9.99654452e-01
1.65300736e+00	3.30372100e-01	3.30515190e-01	9.99567071e-01
1.65995277e+00	3.40513820e-01	3.40681764e-01	9.99507036e-01
1.66689818e+00	3.48732276e-01	3.48805196e-01	9.99790943e-01
1.67384359e+00	3.57124822e-01	3.57237291e-01	9.99685170e-01
1.68078900e+00	3.67355950e-01	3.67624693e-01	9.99268974e-01
1.68773441e+00	3.83194007e-01	3.83536259e-01	9.99107643e-01
1.69467982e+00	3.98950430e-01	3.99135886e-01	9.99535356e-01
1.70162523e+00	4.13765305e-01	4.14081701e-01	9.99235909e-01
1.70857063e+00	4.32348798e-01	4.32692011e-01	9.99206797e-01
1.71551604e+00	4.55459656e-01	4.55975633e-01	9.98868412e-01
