Frequency_Hz	H1_abs_acc1	H2_abs_acc1	Coh_acc1	H1_abs_acc2	H2_abs_acc2	Coh_acc2	H1_abs_acc3	H2_abs_acc3	Coh_acc3	H1_abs_acc4	H2_abs_acc4	Coh_acc4	H1_abs_acc5	H2_abs_acc5	Coh_acc5	H1_abs_acc6	H2_abs_acc6	Coh_acc6
8.75121545e-01	1.35157557e-02	1.88106706e-02	7.18515355e-01	1.17240704e-02	1.69267040e-02	6.92637525e-01	1.21682350e-02	1.47732732e-02	8.23665468e-01	1.37333770e-02	1.62715321e-02	8.44012532e-01	2.82693945e-02	3.11129123e-02	9.08606505e-01	1.38735058e-02	1.58129934e-02	8.77348488e-01
8.82066954e-01	1.24976473e-02	1.66014784e-02	7.52803274e-01	1.03132860e-02	1.54157823e-02	6.69008275e-01	1.28494848e-02	1.52695592e-02	8.41509871e-01	1.43685433e-02	1.72340230e-02	8.33731235e-01	3.10759807e-02	3.30565880e-02	9.40084340e-01	1.53731263e-02	1.77132959e-02	8.67886267e-01
8.89012363e-01	1.20149434e-02	1.65154262e-02	7.27498233e-01	1.04034596e-02	1.48003740e-02	7.02918693e-01	1.39914638e-02	1.56756246e-02	8.92561803e-01	1.48538211e-02	1.74733939e-02	8.50082202e-01	2.77731593e-02	2.96281245e-02	9.37391744e-01	1.62191449e-02	1.79466696e-02	9.03741210e-01
8.95957772e-01	1.27178142e-02	1.68932517e-02	7.52833996e-01	1.05479515e-02	1.50217046e-02	7.02180734e-01	1.44381365e-02	1.58290995e-02	9.12126210e-01	1.63391301e-02	1.84103487e-02	8.87497045e-01	2.79512066e-02	2.94620663e-02	9.48718475e-01	1.55430156e-02	1.76580659e-02	8.80221862e-01
9.02903181e-01	1.28730609e-02	1.65666251e-02	7.77047883e-01	1.20420791e-02	1.68735589e-02	7.13665635e-01	1.45294436e-02	1.61245297e-02	9.01077046e-01	1.76068772e-02	1.92541942e-02	9.14443733e-01	3.11156170e-02	3.27720160e-02	9.49456907e-01	1.59943780e-02	1.81670465e-02	8.80406068e-01
9.09848590e-01	1.26557813e-02	1.66958129e-02	7.58021269e-01	1.31932409e-02	1.85414395e-02	7.11554294e-01	1.55529251e-02	1.69746857e-02	9.16242298e-01	1.66938682e-02	1.85450634e-02	9.00178547e-01	3.38481725e-02	3.52764199e-02	9.59512690e-01	1.66787910e-02	1.80649337e-02	9.23268873e-01
9.16793999e-01	1.38772593e-02	1.78626873e-02	7.76885308e-01	1.31867894e-02	1.79602737e-02	7.34219849e-01	1.63520552e-02	1.75956068e-02	9.29326020e-01	1.69887665e-02	1.86841548e-02	9.09260635e-01	3.41939805e-02	3.55760579e-02	9.61151475e-01	1.75604452e-02	1.88540136e-02	9.31390288e-01
9.23739408e-01	1.43500175e-02	1.77821367e-02	8.06990621e-01	1.30157642e-02	1.82076040e-02	7.14853211e-01	1.62304758e-02	1.76736055e-02	9.18345480e-01	1.82070836e-02	2.01149833e-02	9.05150319e-01	3.35914271e-02	3.55960179e-02	9.43684971e-01	1.85089930e-02	1.98140269e-02	9.34135857e-01
9.30684817e-01	1.41632980e-02	1.67634594e-02	8.44891122e-01	1.23920030e-02	1.81813984e-02	6.81575900e-01	1.62116261e-02	1.79034198e-02	9.05504442e-01	1.80985367e-02	2.01373487e-02	8.98754694e-01	3.56205528e-02	3.72614490e-02	9.55962632e-01	1.82929176e-02	2.00507925e-02	9.12328909e-01
9.37630226e-01	1.27985788e-02	1.76475805e-02	7.25231360e-01	1.30992702e-02	1.83983909e-02	7.11979124e-01	1.58194122e-02	1.74372462e-02	9.07219640e-01	1.83909369e-02	2.05279433e-02	8.95897684e-01	3.67376157e-02	3.79322091e-02	9.68507148e-01	1.82228695e-02	2.00263957e-02	9.09942546e-01
