Force;Acc4;
0.005782;-2.042136;
0.003625;-2.045740;
0.001413;-2.042863;
-0.000852;-2.033515;
-0.003170;-2.017724;
-0.005540;-1.995541;
-0.007961;-1.967034;
-0.010432;-1.932295;
-0.012951;-1.891432;
-0.015517;-1.844575;
-0.018129;-1.791872;
-0.020783;-1.733490;
-0.023478;-1.669613;
-0.026210;-1.600444;
-0.028978;-1.526201;
-0.031777;-1.447118;
-0.034603;-1.363448;
-0.037454;-1.275453;
-0.040323;-1.183414;
-0.043206;-1.087621;
-0.046098;-0.988377;
-0.048993;-0.885998;
-0.051885;-0.780806;
-0.054767;-0.673136;
-0.057632;-0.563329;
-0.060473;-0.451732;
-0.063281;-0.338699;
-0.066049;-0.224588;
-0.068767;-0.109760;
-0.071426;0.005420;
-0.074016;0.120587;
-0.076528;0.235376;
-0.078951;0.349423;
-0.081274;0.462367;
-0.083486;0.573850;
-0.085576;0.683518;
-0.087531;0.791023;
-0.089340;0.896025;
-0.090991;0.998189;
-0.092470;1.097193;
-0.093766;1.192721;
-0.094866;1.284471;
-0.095756;1.372151;
-0.096425;1.455484;
-0.096858;1.534204;
-0.097044;1.608062;
-0.096970;1.676822;
-0.096623;1.740267;
-0.095992;1.798195;
-0.095064;1.850421;
-0.093829;1.896779;
-0.092275;1.937123;
-0.090391;1.971323;
-0.088170;1.999270;
-0.085600;2.020875;
-0.082675;2.036069;
-0.079386;2.044804;
-0.075728;2.047051;
-0.071695;2.042802;
-0.067283;2.032070;
-0.062489;2.014889;
-0.057311;1.991312;
-0.051749;1.961415;
-0.045803;1.925290;
-0.039476;1.883053;
-0.032773;1.834837;
-0.025699;1.780794;
-0.018261;1.721095;
-0.010469;1.655930;
-0.002333;1.585505;
0.006134;1.510043;
0.014917;1.429783;
0.024001;1.344980;
0.033366;1.255902;
0.042992;1.162833;
0.052858;1.066067;
0.062938;0.965912;
0.073209;0.862685;
0.083640;0.756715;
0.094203;0.648338;
0.104867;0.537899;
0.115598;0.425747;
0.126361;0.312240;
0.137121;0.197739;
0.147839;0.082608;
0.158475;-0.032788;
0.168990;-0.148081;
0.179341;-0.262904;
0.189487;-0.376892;
0.199382;-0.489682;
0.208982;-0.600914;
0.218243;-0.710235;
0.227119;-0.817296;
0.235563;-0.921756;
0.243530;-1.023282;
0.250975;-1.121551;
0.257850;-1.216248;
0.264112;-1.307072;
0.269715;-1.393732;
0.274616;-1.475952;
0.278773;-1.553470;
0.282143;-1.626037;
0.284688;-1.693422;
0.286369;-1.755410;
0.287150;-1.811800;
0.286997;-1.862414;
0.285879;-1.907089;
0.283765;-1.945681;
0.280631;-1.978067;
0.276453;-2.004142;
0.271209;-2.023822;
0.264885;-2.037044;
0.257465;-2.043765;
0.248941;-2.043962;
0.239307;-2.037634;
0.228561;-2.024800;
0.216705;-2.005501;
0.203746;-1.979797;
0.189695;-1.947769;
0.174566;-1.909520;
0.158380;-1.865170;
0.141162;-1.814862;
0.122939;-1.758755;
0.103747;-1.697028;
0.083623;-1.629878;
0.062610;-1.557519;
0.040756;-1.480182;
0.018113;-1.398115;
-0.005263;-1.311580;
-0.029311;-1.220854;
-0.053965;-1.126226;
-0.079156;-1.028001;
-0.104810;-0.926492;
-0.130851;-0.822024;
-0.157198;-0.714933;
-0.183766;-0.605562;
-0.210468;-0.494261;
-0.237214;-0.381388;
-0.263911;-0.267305;
-0.290464;-0.152378;
-0.316774;-0.036976;
-0.342743;0.078529;
-0.368270;0.193768;
-0.393254;0.308368;
-0.417593;0.421962;
-0.441182;0.534184;
-0.463921;0.644673;
-0.485706;0.753073;
-0.506436;0.859035;
-0.526010;0.962218;
-0.544331;1.062289;
-0.561302;1.158926;
-0.576828;1.251816;
-0.590819;1.340661;
-0.603186;1.425173;
-0.613846;1.505080;
-0.622718;1.580124;
-0.629726;1.650062;
-0.634801;1.714668;
-0.637876;1.773733;
-0.638892;1.827067;
-0.637795;1.874496;
-0.634538;1.915867;
-0.629079;1.951047;
-0.621387;1.979921;
-0.611433;2.002396;
-0.599199;2.018399;
-0.584674;2.027878;
-0.567855;2.030802;
-0.548747;2.027161;
-0.527363;2.016968;
-0.503726;2.000256;
-0.477865;1.977078;
-0.449820;1.947509;
-0.419639;1.911647;
-0.387378;1.869607;
-0.353103;1.821525;
-0.316889;1.767559;
-0.278816;1.707883;
-0.238978;1.642692;
-0.197472;1.572197;
-0.154407;1.496629;
-0.109897;1.416233;
-0.064067;1.331270;
-0.017045;1.242019;
0.031031;1.148769;
0.080016;1.051825;
0.129762;0.951502;
0.180111;0.848128;
0.230904;0.742041;
0.281973;0.633586;
0.333148;0.523117;
0.384255;0.410995;
0.435117;0.297587;
0.485553;0.183262;
0.535381;0.068395;
0.584419;-0.046639;
0.632480;-0.161464;
0.679382;-0.275705;
0.724940;-0.388988;
0.768972;-0.500943;
0.811297;-0.611202;
0.851736;-0.719406;
0.890117;-0.825201;
0.926267;-0.928240;
0.960021;-1.028186;
0.991220;-1.124711;
1.019707;-1.217501;
1.045337;-1.306251;
1.067969;-1.390671;
1.087471;-1.470485;
1.103719;-1.545431;
1.116602;-1.615265;
1.126013;-1.679759;
1.131860;-1.738702;
1.134060;-1.791901;
1.132543;-1.839183;
1.127248;-1.880395;
1.118130;-1.915403;
1.105154;-1.944093;
1.088299;-1.966372;
1.067557;-1.982171;
1.042935;-1.991438;
1.014451;-1.994146;
0.982140;-1.990288;
0.946050;-1.979880;
0.906241;-1.962958;
0.862790;-1.939581;
0.815786;-1.909829;
0.765334;-1.873804;
0.711551;-1.831626;
0.654568;-1.783440;
0.594530;-1.729406;
0.531594;-1.669706;
0.465930;-1.604542;
0.397721;-1.534132;
0.327160;-1.458712;
0.254453;-1.378534;
0.179814;-1.293868;
0.103471;-1.204997;
0.025658;-1.112218;
-0.053381;-1.015842;
-0.133395;-0.916191;
-0.214125;-0.813598;
-0.295307;-0.708407;
-0.376670;-0.600969;
-0.457940;-0.491643;
-0.538838;-0.380795;
-0.619084;-0.268794;
-0.698397;-0.156015;
-0.776492;-0.042834;
-0.853087;0.070370;
-0.927901;0.183221;
-1.000657;0.295341;
-1.071078;0.406358;
-1.138894;0.515899;
-1.203840;0.623601;
-1.265658;0.729106;
-1.324096;0.832060;
-1.378913;0.932123;
-1.429876;1.028960;
-1.476763;1.122251;
-1.519362;1.211686;
-1.557477;1.296967;
-1.590920;1.377813;
-1.619522;1.453956;
-1.643126;1.525144;
-1.661591;1.591142;
-1.674793;1.651733;
-1.682623;1.706719;
-1.684993;1.755918;
-1.681829;1.799172;
-1.673079;1.836339;
-1.658706;1.867300;
-1.638696;1.891956;
-1.613052;1.910231;
-1.581797;1.922068;
-1.544976;1.927434;
-1.502650;1.926316;
-1.454904;1.918725;
-1.401839;1.904692;
-1.343579;1.884270;
-1.280265;1.857536;
-1.212058;1.824586;
-1.139137;1.785536;
-1.061702;1.740526;
-0.979967;1.689713;
-0.894165;1.633276;
-0.804545;1.571410;
-0.711374;1.504331;
-0.614932;1.432273;
-0.515512;1.355483;
-0.413422;1.274227;
-0.308983;1.188787;
-0.202526;1.099455;
-0.094392;1.006539;
0.015068;0.910359;
0.125495;0.811244;
0.236525;0.709535;
0.347785;0.605579;
0.458902;0.499734;
0.569497;0.392360;
0.679190;0.283825;
0.787602;0.174499;
0.894354;0.064755;
0.999068;-0.045032;
1.101373;-0.154489;
1.200900;-0.263244;
1.297289;-0.370926;
1.390186;-0.477170;
1.479246;-0.581615;
1.564135;-0.683908;
1.644532;-0.783701;
1.720127;-0.880658;
1.790625;-0.974451;
1.855746;-1.064764;
1.915225;-1.151293;
1.968818;-1.233746;
2.016297;-1.311848;
2.057452;-1.385337;
2.092097;-1.453968;
2.120065;-1.517512;
2.141210;-1.575760;
2.155411;-1.628518;
2.162567;-1.675613;
2.162605;-1.716892;
2.155471;-1.752223;
2.141140;-1.781491;
2.119609;-1.804605;
2.090902;-1.821495;
2.055065;-1.832112;
2.012172;-1.836428;
1.962321;-1.834438;
1.905635;-1.826158;
1.842261;-1.811626;
1.772369;-1.790902;
1.696156;-1.764065;
1.613840;-1.731217;
1.525661;-1.692482;
1.431882;-1.648001;
1.332788;-1.597936;
1.228682;-1.542469;
1.119887;-1.481799;
1.006746;-1.416144;
0.889617;-1.345738;
0.768875;-1.270831;
0.644909;-1.191690;
0.518122;-1.108595;
0.388930;-1.021838;
0.257759;-0.931726;
0.125042;-0.838576;
-0.008776;-0.742714;
-0.143246;-0.644478;
-0.277914;-0.544209;
-0.412323;-0.442260;
-0.546015;-0.338986;
-0.678531;-0.234746;
-0.809413;-0.129904;
-0.938208;-0.024823;
-1.064467;0.080131;
-1.187747;0.184595;
-1.307616;0.288207;
-1.423647;0.390609;
-1.535428;0.491449;
-1.642558;0.590378;
-1.744651;0.687056;
-1.841335;0.781152;
-1.932258;0.872343;
-2.017084;0.960317;
-2.095498;1.044775;
-2.167204;1.125428;
-2.231929;1.202002;
-2.289424;1.274240;
-2.339463;1.341896;
-2.381845;1.404744;
-2.416394;1.462574;
-2.442963;1.515193;
-2.461428;1.562428;
-2.471696;1.604123;
-2.473701;1.640144;
-2.467406;1.670375;
-2.452802;1.694721;
-2.429907;1.713109;
-2.398772;1.725486;
-2.359474;1.731819;
-2.312118;1.732098;
-2.256840;1.726334;
-2.193802;1.714557;
-2.123194;1.696820;
-2.045233;1.673197;
-1.960163;1.643781;
-1.868251;1.608687;
-1.769792;1.568048;
-1.665102;1.522017;
-1.554522;1.470765;
-1.438412;1.414483;
-1.317155;1.353376;
-1.191152;1.287668;
-1.060820;1.217598;
-0.926595;1.143422;
